"Tanggal","Produk","Kategori","Lokasi","Permintaan","Harga","Kapasitas"
2025-05-01,"Product D","Drink","Jakarta",4489,15000,5000
2025-06-01,"Product D","Drink","Jakarta",1288,7500,5000
2025-07-01,"Product D","Drink","Jakarta",1088,10000,6000
2025-08-01,"Product D","Drink","Jakarta",3439,5000,6000
2025-09-01,"Product D","Drink","Jakarta",2046,10000,6000
2025-10-01,"Product D","Drink","Jakarta",3455,7500,6000
2025-11-01,"Product D","Drink","Jakarta",2524,15000,5000
2025-12-01,"Product D","Drink","Jakarta",1748,15000,4000
2024-01-01,"Product A","Food","Bandung",4020,5000,4000
2024-02-01,"Product A","Food","Bandung",921,15000,6000
2024-03-01,"Product A","Food","Bandung",2601,5000,4000
2024-04-01,"Product A","Food","Bandung",2802,5000,5000
2024-05-01,"Product A","Food","Bandung",3200,5000,5000
2024-06-01,"Product A","Food","Bandung",1998,5000,6000
2024-07-01,"Product A","Food","Bandung",2699,10000,5000
2024-08-01,"Product A","Food","Bandung",4795,7500,4000
2024-09-01,"Product A","Food","Bandung",2673,7500,6000
2024-10-01,"Product A","Food","Bandung",4507,7500,4000
2024-11-01,"Product A","Food","Bandung",5999,10000,4000
2024-12-01,"Product A","Food","Bandung",4211,5000,6000
2025-01-01,"Product A","Food","Bandung",2348,7500,5000
2025-02-01,"Product A","Food","Bandung",1162,7500,4000
2025-03-01,"Product A","Food","Bandung",4709,5000,4000
2025-04-01,"Product A","Food","Bandung",1856,7500,5000
2025-05-01,"Product A","Food","Bandung",773,5000,5000
2025-06-01,"Product A","Food","Bandung",4765,5000,5000
2025-07-01,"Product A","Food","Bandung",3743,7500,5000
2025-08-01,"Product A","Food","Bandung",1140,10000,4000
2025-09-01,"Product A","Food","Bandung",2972,5000,6000
2025-10-01,"Product A","Food","Bandung",4793,10000,6000
2025-11-01,"Product A","Food","Bandung",4075,15000,5000
2025-12-01,"Product A","Food","Bandung",3016,5000,6000
2024-01-01,"Product B","Food","Bandung",3416,7500,6000
2024-02-01,"Product B","Food","Bandung",1939,5000,6000
2024-03-01,"Product B","Food","Bandung",1885,15000,5000
2024-04-01,"Product B","Food","Bandung",1489,7500,6000
2024-05-01,"Product B","Food","Bandung",2163,7500,6000
2024-06-01,"Product B","Food","Bandung",4929,7500,5000
2024-07-01,"Product B","Food","Bandung",1194,10000,5000
2024-08-01,"Product B","Food","Bandung",910,5000,6000
2024-09-01,"Product B","Food","Bandung",1139,5000,5000
2024-10-01,"Product B","Food","Bandung",3605,15000,6000
2024-11-01,"Product B","Food","Bandung",4273,5000,5000
2024-12-01,"Product B","Food","Bandung",5865,5000,5000
2025-01-01,"Product B","Food","Bandung",3528,15000,4000
2025-02-01,"Product B","Food","Bandung",3817,10000,5000
2025-03-01,"Product B","Food","Bandung",2845,5000,6000
2025-04-01,"Product B","Food","Bandung",3469,7500,4000
2025-05-01,"Product B","Food","Bandung",4198,5000,4000
2025-06-01,"Product B","Food","Bandung",4038,7500,6000
2025-07-01,"Product B","Food","Bandung",4909,15000,5000
2025-08-01,"Product B","Food","Bandung",2477,7500,4000
2025-09-01,"Product B","Food","Bandung",1903,5000,4000
2025-10-01,"Product B","Food","Bandung",2343,5000,6000
2025-11-01,"Product B","Food","Bandung",711,5000,6000
2025-12-01,"Product B","Food","Bandung",1726,5000,6000
2024-01-01,"Product C","Drink","Bandung",4292,15000,4000
2024-02-01,"Product C","Drink","Bandung",1540,10000,5000
2024-03-01,"Product C","Drink","Bandung",1576,5000,5000
2024-04-01,"Product C","Drink","Bandung",845,5000,6000
2024-05-01,"Product C","Drink","Bandung",1606,5000,6000
2024-06-01,"Product C","Drink","Bandung",3795,7500,6000
2024-07-01,"Product C","Drink","Bandung",4314,7500,6000
2024-08-01,"Product C","Drink","Bandung",2739,10000,5000
2024-09-01,"Product C","Drink","Bandung",2246,7500,4000
2024-10-01,"Product C","Drink","Bandung",1609,10000,6000
2024-11-01,"Product C","Drink","Bandung",1300,5000,5000
2024-12-01,"Product C","Drink","Bandung",2931,5000,4000
2025-01-01,"Product C","Drink","Bandung",3074,15000,6000
2025-02-01,"Product C","Drink","Bandung",1476,5000,6000
2025-03-01,"Product C","Drink","Bandung",2501,5000,6000
2025-04-01,"Product C","Drink","Bandung",1481,5000,5000
2025-05-01,"Product C","Drink","Bandung",2760,15000,4000
2025-06-01,"Product C","Drink","Bandung",2093,10000,5000
2025-07-01,"Product C","Drink","Bandung",3425,5000,6000
2025-08-01,"Product C","Drink","Bandung",2186,15000,4000
2025-09-01,"Product C","Drink","Bandung",2100,5000,5000
2025-10-01,"Product C","Drink","Bandung",2902,10000,4000
2025-11-01,"Product C","Drink","Bandung",4981,10000,5000
2025-12-01,"Product C","Drink","Bandung",1943,15000,5000
2024-01-01,"Product D","Drink","Bandung",2357,7500,6000
2024-02-01,"Product D","Drink","Bandung",1696,5000,5000
2024-03-01,"Product D","Drink","Bandung",3335,5000,5000
2024-04-01,"Product D","Drink","Bandung",1327,5000,5000
2024-05-01,"Product D","Drink","Bandung",4386,7500,5000
2024-06-01,"Product D","Drink","Bandung",3860,5000,5000
2024-07-01,"Product D","Drink","Bandung",3507,7500,6000
2024-08-01,"Product D","Drink","Bandung",3281,5000,4000
2024-09-01,"Product D","Drink","Bandung",2175,15000,4000
2024-10-01,"Product D","Drink","Bandung",2884,5000,6000
2024-11-01,"Product D","Drink","Bandung",5767,10000,6000
2024-12-01,"Product D","Drink","Bandung",4053,10000,6000
2025-01-01,"Product D","Drink","Bandung",4279,7500,6000
2025-02-01,"Product D","Drink","Bandung",1906,7500,5000
2025-03-01,"Product D","Drink","Bandung",3687,5000,4000
2025-04-01,"Product D","Drink","Bandung",1693,10000,4000
2025-05-01,"Product D","Drink","Bandung",3175,15000,6000
2025-06-01,"Product D","Drink","Bandung",2666,5000,5000
2025-07-01,"Product D","Drink","Bandung",1693,5000,5000
2025-08-01,"Product D","Drink","Bandung",3041,7500,6000
2025-09-01,"Product D","Drink","Bandung",4609,5000,4000
2025-10-01,"Product D","Drink","Bandung",4558,7500,6000
2025-11-01,"Product D","Drink","Bandung",2254,7500,6000
2025-12-01,"Product D","Drink","Bandung",2531,7500,4000
