Tanggal,Tahun,Bulan,NamaBulan,SKU,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Demand,DemandValue,Capacity,Harga
2024-07-01,2024,7,July,SKU07,Product C,Drink,Chocolate,Large,Box,Bandung,1662,24930000,5000,15000
2024-07-01,2024,7,July,SKU08,Product C,Drink,Berry,Medium,Bottle,Bandung,3857,57855000,4000,15000
2024-07-01,2024,7,July,SKU09,Product C,Drink,Vanilla,Large,Bottle,Jakarta,4283,32122500,5000,7500
2024-07-01,2024,7,July,SKU10,Product C,Drink,Original,Large,Box,Bandung,1952,19520000,4000,10000
2024-07-01,2024,7,July,SKU11,Product C,Drink,Berry,Small,Box,Jakarta,3772,28290000,6000,7500
2024-07-01,2024,7,July,SKU12,Product C,Drink,Vanilla,Medium,Box,Bandung,1602,8010000,5000,5000
2024-08-01,2024,8,August,SKU01,Product D,Drink,Berry,Large,Box,Jakarta,4211,21055000,5000,5000
2024-08-01,2024,8,August,SKU02,Product D,Drink,Chocolate,Small,Box,Bandung,670,5025000,4000,7500
2024-08-01,2024,8,August,SKU03,Product D,Drink,Original,Large,Bottle,Bandung,3059,30590000,4000,10000
2024-08-01,2024,8,August,SKU04,Product D,Drink,Berry,Small,Bottle,Bandung,3274,49110000,4000,15000
2024-08-01,2024,8,August,SKU05,Product D,Drink,Berry,Small,Bottle,Bandung,1286,6430000,4000,5000
2024-08-01,2024,8,August,SKU06,Product D,Drink,Chocolate,Large,Box,Jakarta,2275,11375000,6000,5000
2024-08-01,2024,8,August,SKU07,Product D,Drink,Vanilla,Large,Box,Bandung,2724,13620000,6000,5000
2024-08-01,2024,8,August,SKU08,Product D,Drink,Chocolate,Large,Bottle,Bandung,3682,36820000,6000,10000
2024-08-01,2024,8,August,SKU09,Product D,Drink,Berry,Small,Box,Bandung,627,9405000,4000,15000
2024-08-01,2024,8,August,SKU10,Product D,Drink,Berry,Small,Box,Jakarta,3346,33460000,6000,10000
2024-08-01,2024,8,August,SKU11,Product D,Drink,Chocolate,Small,Bottle,Jakarta,2032,15240000,6000,7500
2024-08-01,2024,8,August,SKU12,Product D,Drink,Chocolate,Medium,Box,Bandung,2398,35970000,6000,15000
2024-09-01,2024,9,September,SKU01,Product A,Food,Vanilla,Large,Bottle,Bandung,1006,10060000,4000,10000
2024-09-01,2024,9,September,SKU02,Product A,Food,Vanilla,Small,Bottle,Bandung,713,7130000,6000,10000
2024-09-01,2024,9,September,SKU03,Product A,Food,Berry,Large,Box,Bandung,1494,7470000,6000,5000
2024-09-01,2024,9,September,SKU04,Product A,Food,Berry,Large,Box,Bandung,2513,37695000,4000,15000
2024-09-01,2024,9,September,SKU05,Product A,Food,Vanilla,Large,Box,Jakarta,2459,12295000,4000,5000
2024-09-01,2024,9,September,SKU06,Product A,Food,Vanilla,Small,Bottle,Bandung,4846,36345000,5000,7500
2024-09-01,2024,9,September,SKU07,Product A,Food,Original,Small,Bottle,Jakarta,2848,14240000,6000,5000
2024-09-01,2024,9,September,SKU08,Product A,Food,Original,Small,Bottle,Bandung,1967,29505000,4000,15000
2024-09-01,2024,9,September,SKU09,Product A,Food,Berry,Medium,Bottle,Jakarta,4305,32287500,5000,7500
2024-09-01,2024,9,September,SKU10,Product A,Food,Chocolate,Medium,Box,Jakarta,4238,21190000,4000,5000
2024-09-01,2024,9,September,SKU11,Product A,Food,Original,Medium,Box,Jakarta,763,3815000,6000,5000
2024-09-01,2024,9,September,SKU12,Product A,Food,Chocolate,Small,Box,Jakarta,4480,44800000,6000,10000
2024-10-01,2024,10,October,SKU01,Product B,Food,Chocolate,Small,Bottle,Bandung,2911,29110000,5000,10000
2024-10-01,2024,10,October,SKU02,Product B,Food,Chocolate,Small,Box,Bandung,1224,18360000,5000,15000
2024-10-01,2024,10,October,SKU03,Product B,Food,Berry,Medium,Box,Bandung,4451,44510000,5000,10000
2024-10-01,2024,10,October,SKU04,Product B,Food,Original,Medium,Bottle,Bandung,751,7510000,4000,10000
2024-10-01,2024,10,October,SKU05,Product B,Food,Original,Large,Box,Bandung,3931,39310000,6000,10000
2024-10-01,2024,10,October,SKU06,Product B,Food,Berry,Medium,Box,Jakarta,720,5400000,4000,7500
2024-10-01,2024,10,October,SKU07,Product B,Food,Berry,Large,Box,Bandung,1489,7445000,4000,5000
2024-10-01,2024,10,October,SKU08,Product B,Food,Berry,Small,Bottle,Bandung,4843,36322500,4000,7500
2024-10-01,2024,10,October,SKU09,Product B,Food,Berry,Small,Bottle,Jakarta,3859,28942500,5000,7500
2024-10-01,2024,10,October,SKU10,Product B,Food,Chocolate,Large,Box,Bandung,731,5482500,5000,7500
2024-10-01,2024,10,October,SKU11,Product B,Food,Chocolate,Small,Box,Bandung,4919,73785000,6000,15000
2024-10-01,2024,10,October,SKU12,Product B,Food,Vanilla,Medium,Box,Jakarta,1572,23580000,4000,15000
2024-11-01,2024,11,November,SKU01,Product C,Drink,Original,Medium,Box,Bandung,3246,32460000,4000,10000
2024-11-01,2024,11,November,SKU02,Product C,Drink,Chocolate,Medium,Bottle,Bandung,3394,25455000,4000,7500
2024-11-01,2024,11,November,SKU03,Product C,Drink,Vanilla,Large,Box,Bandung,3384,25380000,4000,7500
2024-11-01,2024,11,November,SKU04,Product C,Drink,Vanilla,Small,Bottle,Bandung,682,3410000,5000,5000
2024-11-01,2024,11,November,SKU05,Product C,Drink,Chocolate,Small,Box,Jakarta,6026,30130000,5000,5000
2024-11-01,2024,11,November,SKU06,Product C,Drink,Original,Medium,Box,Bandung,1547,11602500,4000,7500
2024-11-01,2024,11,November,SKU07,Product C,Drink,Chocolate,Large,Box,Jakarta,5114,51140000,4000,10000
2024-11-01,2024,11,November,SKU08,Product C,Drink,Original,Large,Bottle,Bandung,4724,47240000,6000,10000
2024-11-01,2024,11,November,SKU09,Product C,Drink,Vanilla,Medium,Bottle,Bandung,2195,16462500,6000,7500
2024-11-01,2024,11,November,SKU10,Product C,Drink,Chocolate,Large,Bottle,Bandung,6455,96825000,6000,15000
2024-11-01,2024,11,November,SKU11,Product C,Drink,Vanilla,Medium,Box,Bandung,4675,23375000,5000,5000
2024-11-01,2024,11,November,SKU12,Product C,Drink,Berry,Small,Bottle,Jakarta,2356,35340000,4000,15000
2024-12-01,2024,12,December,SKU01,Product D,Drink,Berry,Small,Box,Jakarta,2253,33795000,6000,15000
2024-12-01,2024,12,December,SKU02,Product D,Drink,Berry,Medium,Box,Bandung,5365,40237500,4000,7500
2024-12-01,2024,12,December,SKU03,Product D,Drink,Original,Large,Box,Jakarta,3823,38230000,6000,10000
2024-12-01,2024,12,December,SKU04,Product D,Drink,Berry,Large,Bottle,Bandung,1948,19480000,4000,10000
2024-12-01,2024,12,December,SKU05,Product D,Drink,Vanilla,Small,Box,Bandung,5954,89310000,6000,15000
2024-12-01,2024,12,December,SKU06,Product D,Drink,Chocolate,Medium,Bottle,Bandung,4727,23635000,4000,5000
2024-12-01,2024,12,December,SKU07,Product D,Drink,Chocolate,Small,Bottle,Jakarta,793,3965000,5000,5000
2024-12-01,2024,12,December,SKU08,Product D,Drink,Vanilla,Small,Box,Bandung,1592,15920000,5000,10000
2024-12-01,2024,12,December,SKU09,Product D,Drink,Chocolate,Large,Box,Jakarta,5014,25070000,6000,5000
2024-12-01,2024,12,December,SKU10,Product D,Drink,Chocolate,Small,Bottle,Jakarta,779,7790000,5000,10000
2024-12-01,2024,12,December,SKU11,Product D,Drink,Vanilla,Medium,Box,Jakarta,5694,85410000,4000,15000
2024-12-01,2024,12,December,SKU12,Product D,Drink,Vanilla,Medium,Box,Bandung,5777,28885000,5000,5000
2025-01-01,2025,1,January,SKU01,Product A,Food,Berry,Medium,Box,Jakarta,1208,6040000,5000,5000
2025-01-01,2025,1,January,SKU02,Product A,Food,Vanilla,Large,Box,Bandung,1763,17630000,6000,10000
2025-01-01,2025,1,January,SKU03,Product A,Food,Berry,Large,Bottle,Jakarta,4030,30225000,5000,7500
2025-01-01,2025,1,January,SKU04,Product A,Food,Chocolate,Large,Bottle,Jakarta,4329,43290000,4000,10000
2025-01-01,2025,1,January,SKU05,Product A,Food,Vanilla,Large,Box,Bandung,4170,20850000,4000,5000
2025-01-01,2025,1,January,SKU06,Product A,Food,Vanilla,Medium,Bottle,Jakarta,3775,37750000,5000,10000
2025-01-01,2025,1,January,SKU07,Product A,Food,Berry,Medium,Box,Jakarta,3702,27765000,4000,7500
2025-01-01,2025,1,January,SKU08,Product A,Food,Berry,Medium,Box,Jakarta,2161,32415000,6000,15000
2025-01-01,2025,1,January,SKU09,Product A,Food,Berry,Medium,Bottle,Jakarta,3522,52830000,5000,15000
2025-01-01,2025,1,January,SKU10,Product A,Food,Original,Small,Box,Jakarta,1309,9817500,6000,7500
2025-01-01,2025,1,January,SKU11,Product A,Food,Berry,Large,Box,Jakarta,2578,19335000,5000,7500
2025-01-01,2025,1,January,SKU12,Product A,Food,Berry,Large,Bottle,Jakarta,3286,49290000,5000,15000
2025-02-01,2025,2,February,SKU01,Product B,Food,Chocolate,Medium,Box,Bandung,4423,33172500,5000,7500
2025-02-01,2025,2,February,SKU02,Product B,Food,Vanilla,Large,Bottle,Jakarta,3897,29227500,4000,7500
2025-02-01,2025,2,February,SKU03,Product B,Food,Berry,Medium,Box,Bandung,3415,17075000,6000,5000
2025-02-01,2025,2,February,SKU04,Product B,Food,Original,Large,Bottle,Bandung,1703,12772500,4000,7500
2025-02-01,2025,2,February,SKU05,Product B,Food,Vanilla,Large,Box,Jakarta,1399,20985000,6000,15000
2025-02-01,2025,2,February,SKU06,Product B,Food,Original,Medium,Bottle,Bandung,988,14820000,6000,15000
2025-02-01,2025,2,February,SKU07,Product B,Food,Vanilla,Small,Box,Jakarta,4284,21420000,6000,5000
2025-02-01,2025,2,February,SKU08,Product B,Food,Vanilla,Medium,Bottle,Bandung,1860,13950000,5000,7500
2025-02-01,2025,2,February,SKU09,Product B,Food,Berry,Medium,Bottle,Bandung,1274,19110000,6000,15000
2025-02-01,2025,2,February,SKU10,Product B,Food,Vanilla,Small,Box,Jakarta,1979,9895000,5000,5000
2025-02-01,2025,2,February,SKU11,Product B,Food,Berry,Large,Bottle,Jakarta,1067,5335000,6000,5000
2025-02-01,2025,2,February,SKU12,Product B,Food,Chocolate,Large,Bottle,Jakarta,4358,43580000,6000,10000
2025-03-01,2025,3,March,SKU01,Product C,Drink,Berry,Medium,Box,Jakarta,3029,45435000,5000,15000
2025-03-01,2025,3,March,SKU02,Product C,Drink,Original,Small,Bottle,Bandung,2848,14240000,4000,5000
2025-03-01,2025,3,March,SKU03,Product C,Drink,Vanilla,Large,Bottle,Bandung,1152,5760000,6000,5000
2025-03-01,2025,3,March,SKU04,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3194,15970000,4000,5000
2025-03-01,2025,3,March,SKU05,Product C,Drink,Chocolate,Medium,Box,Bandung,723,3615000,4000,5000
2025-03-01,2025,3,March,SKU06,Product C,Drink,Original,Small,Bottle,Jakarta,2591,25910000,6000,10000
2025-03-01,2025,3,March,SKU07,Product C,Drink,Chocolate,Medium,Box,Bandung,4689,35167500,5000,7500
2025-03-01,2025,3,March,SKU08,Product C,Drink,Berry,Large,Box,Jakarta,2561,12805000,6000,5000
2025-03-01,2025,3,March,SKU09,Product C,Drink,Chocolate,Large,Bottle,Jakarta,3514,35140000,4000,10000
2025-03-01,2025,3,March,SKU10,Product C,Drink,Chocolate,Large,Box,Bandung,4347,43470000,5000,10000
2025-03-01,2025,3,March,SKU11,Product C,Drink,Chocolate,Large,Bottle,Bandung,3561,35610000,6000,10000
2025-03-01,2025,3,March,SKU12,Product C,Drink,Original,Medium,Box,Bandung,2648,26480000,5000,10000
2025-04-01,2025,4,April,SKU01,Product D,Drink,Vanilla,Medium,Box,Bandung,2978,29780000,6000,10000
2025-04-01,2025,4,April,SKU02,Product D,Drink,Chocolate,Medium,Box,Bandung,1800,27000000,4000,15000
2025-04-01,2025,4,April,SKU03,Product D,Drink,Vanilla,Large,Bottle,Bandung,1947,9735000,5000,5000
2025-04-01,2025,4,April,SKU04,Product D,Drink,Vanilla,Small,Bottle,Jakarta,3239,32390000,6000,10000
2025-04-01,2025,4,April,SKU05,Product D,Drink,Vanilla,Medium,Bottle,Bandung,2655,39825000,5000,15000
2025-04-01,2025,4,April,SKU06,Product D,Drink,Vanilla,Small,Bottle,Bandung,3390,25425000,6000,7500
2025-04-01,2025,4,April,SKU07,Product D,Drink,Berry,Medium,Box,Bandung,3479,52185000,4000,15000
2025-04-01,2025,4,April,SKU08,Product D,Drink,Vanilla,Small,Bottle,Bandung,4205,21025000,6000,5000
2025-04-01,2025,4,April,SKU09,Product D,Drink,Berry,Small,Bottle,Jakarta,4687,46870000,6000,10000
2025-04-01,2025,4,April,SKU10,Product D,Drink,Chocolate,Large,Bottle,Bandung,1330,9975000,5000,7500
2025-04-01,2025,4,April,SKU11,Product D,Drink,Vanilla,Large,Box,Jakarta,590,4425000,5000,7500
2025-04-01,2025,4,April,SKU12,Product D,Drink,Berry,Medium,Box,Bandung,4524,22620000,5000,5000
2025-05-01,2025,5,May,SKU01,Product A,Food,Original,Small,Box,Jakarta,3166,31660000,6000,10000
2025-05-01,2025,5,May,SKU02,Product A,Food,Vanilla,Medium,Box,Bandung,578,2890000,4000,5000
2025-05-01,2025,5,May,SKU03,Product A,Food,Original,Medium,Bottle,Bandung,4780,35850000,4000,7500
2025-05-01,2025,5,May,SKU04,Product A,Food,Vanilla,Medium,Box,Bandung,4965,49650000,5000,10000
2025-05-01,2025,5,May,SKU05,Product A,Food,Vanilla,Large,Bottle,Jakarta,3157,47355000,6000,15000
2025-05-01,2025,5,May,SKU06,Product A,Food,Vanilla,Large,Bottle,Bandung,2287,17152500,5000,7500
2025-05-01,2025,5,May,SKU07,Product A,Food,Berry,Small,Box,Bandung,1715,8575000,6000,5000
2025-05-01,2025,5,May,SKU08,Product A,Food,Chocolate,Large,Box,Bandung,1546,11595000,6000,7500
2025-05-01,2025,5,May,SKU09,Product A,Food,Chocolate,Medium,Box,Bandung,4329,43290000,4000,10000
2025-05-01,2025,5,May,SKU10,Product A,Food,Chocolate,Small,Bottle,Jakarta,4079,20395000,6000,5000
2025-05-01,2025,5,May,SKU11,Product A,Food,Original,Medium,Bottle,Jakarta,1233,6165000,5000,5000
2025-05-01,2025,5,May,SKU12,Product A,Food,Berry,Small,Bottle,Jakarta,1261,6305000,5000,5000
2025-06-01,2025,6,June,SKU01,Product B,Food,Chocolate,Medium,Bottle,Bandung,4341,21705000,5000,5000
2025-06-01,2025,6,June,SKU02,Product B,Food,Chocolate,Large,Bottle,Jakarta,4034,20170000,4000,5000
2025-06-01,2025,6,June,SKU03,Product B,Food,Chocolate,Medium,Box,Jakarta,1549,7745000,4000,5000
2025-06-01,2025,6,June,SKU04,Product B,Food,Berry,Large,Bottle,Jakarta,1564,23460000,5000,15000
2025-06-01,2025,6,June,SKU05,Product B,Food,Berry,Medium,Bottle,Jakarta,1075,16125000,5000,15000
2025-06-01,2025,6,June,SKU06,Product B,Food,Original,Small,Bottle,Bandung,5700,42750000,5000,7500
2025-06-01,2025,6,June,SKU07,Product B,Food,Chocolate,Large,Box,Jakarta,1704,25560000,4000,15000
2025-06-01,2025,6,June,SKU08,Product B,Food,Chocolate,Small,Box,Jakarta,2657,26570000,4000,10000
2025-06-01,2025,6,June,SKU09,Product B,Food,Chocolate,Large,Box,Bandung,4617,34627500,5000,7500
2025-06-01,2025,6,June,SKU10,Product B,Food,Berry,Small,Bottle,Bandung,5020,50200000,5000,10000
2025-06-01,2025,6,June,SKU11,Product B,Food,Chocolate,Medium,Bottle,Bandung,5211,26055000,5000,5000
2025-06-01,2025,6,June,SKU12,Product B,Food,Berry,Medium,Bottle,Jakarta,3789,56835000,5000,15000
2025-07-01,2025,7,July,SKU01,Product C,Drink,Vanilla,Small,Bottle,Jakarta,3881,38810000,6000,10000
2025-07-01,2025,7,July,SKU02,Product C,Drink,Vanilla,Large,Bottle,Jakarta,922,9220000,5000,10000
2025-07-01,2025,7,July,SKU03,Product C,Drink,Berry,Large,Bottle,Jakarta,4458,33435000,4000,7500
2025-07-01,2025,7,July,SKU04,Product C,Drink,Berry,Small,Box,Jakarta,4474,22370000,4000,5000
2025-07-01,2025,7,July,SKU05,Product C,Drink,Berry,Large,Box,Bandung,5496,54960000,6000,10000
2025-07-01,2025,7,July,SKU06,Product C,Drink,Chocolate,Large,Box,Jakarta,4087,61305000,4000,15000
2025-07-01,2025,7,July,SKU07,Product C,Drink,Original,Small,Box,Jakarta,5066,75990000,4000,15000
2025-07-01,2025,7,July,SKU08,Product C,Drink,Chocolate,Large,Bottle,Bandung,5603,42022500,5000,7500
2025-07-01,2025,7,July,SKU09,Product C,Drink,Berry,Large,Box,Bandung,4124,41240000,4000,10000
2025-07-01,2025,7,July,SKU10,Product C,Drink,Berry,Medium,Box,Bandung,3018,15090000,5000,5000
2025-07-01,2025,7,July,SKU11,Product C,Drink,Chocolate,Medium,Box,Bandung,1368,10260000,5000,7500
2025-07-01,2025,7,July,SKU12,Product C,Drink,Original,Large,Box,Jakarta,4315,21575000,5000,5000
2025-08-01,2025,8,August,SKU01,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,3265,32650000,5000,10000
2025-08-01,2025,8,August,SKU02,Product D,Drink,Original,Large,Box,Bandung,4264,63960000,6000,15000
2025-08-01,2025,8,August,SKU03,Product D,Drink,Berry,Medium,Bottle,Jakarta,2566,12830000,5000,5000
2025-08-01,2025,8,August,SKU04,Product D,Drink,Vanilla,Medium,Box,Jakarta,1591,11932500,5000,7500
2025-08-01,2025,8,August,SKU05,Product D,Drink,Berry,Large,Box,Jakarta,1232,12320000,4000,10000
2025-08-01,2025,8,August,SKU06,Product D,Drink,Original,Large,Box,Bandung,1919,19190000,5000,10000
2025-08-01,2025,8,August,SKU07,Product D,Drink,Original,Medium,Bottle,Bandung,611,4582500,6000,7500
2025-08-01,2025,8,August,SKU08,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1060,5300000,6000,5000
2025-08-01,2025,8,August,SKU09,Product D,Drink,Vanilla,Small,Box,Bandung,3161,23707500,5000,7500
2025-08-01,2025,8,August,SKU10,Product D,Drink,Vanilla,Large,Box,Bandung,3417,25627500,6000,7500
2025-08-01,2025,8,August,SKU11,Product D,Drink,Berry,Large,Box,Bandung,1664,8320000,5000,5000
2025-08-01,2025,8,August,SKU12,Product D,Drink,Chocolate,Medium,Box,Bandung,1356,20340000,5000,15000
2025-09-01,2025,9,September,SKU01,Product A,Food,Chocolate,Small,Bottle,Bandung,736,11040000,6000,15000
2025-09-01,2025,9,September,SKU02,Product A,Food,Berry,Large,Box,Jakarta,1109,8317500,6000,7500
