Tanggal,SKU,Tahun,Bulan,NamaBulan,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Permintaan,Harga,Kapasitas,TahunBulan,DemandValue
2026-09-01,SKU01,2026,9,September,Product A,Food,Vanilla,Large,Bottle,Jakarta,4952,5000,5000,2026-09-01,24760000
2026-10-01,SKU01,2026,10,October,Product B,Food,Original,Small,Bottle,Bandung,2746,10000,6000,2026-10-01,27460000
2026-11-01,SKU01,2026,11,November,Product C,Drink,Berry,Small,Bottle,Bandung,3939,15000,5000,2026-11-01,59085000
2026-12-01,SKU01,2026,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,2863,10000,4000,2026-12-01,28630000
2024-01-01,SKU02,2024,1,January,Product A,Food,Vanilla,Medium,Box,Bandung,2834,5000,6000,2024-01-01,14170000
2024-02-01,SKU02,2024,2,February,Product B,Food,Vanilla,Large,Box,Jakarta,834,7500,6000,2024-02-01,6255000
2024-03-01,SKU02,2024,3,March,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,2923,5000,4000,2024-03-01,14615000
2024-04-01,SKU02,2024,4,April,Product D,Drink,Original,Medium,Bottle,Jakarta,4825,15000,4000,2024-04-01,72375000
2024-05-01,SKU02,2024,5,May,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2875,5000,6000,2024-05-01,14375000
2024-06-01,SKU02,2024,6,June,Product B,Food,Original,Small,Box,Bandung,2837,15000,4000,2024-06-01,42555000
2024-07-01,SKU02,2024,7,July,Product C,Drink,Berry,Medium,Box,Jakarta,742,7500,4000,2024-07-01,5565000
2024-08-01,SKU02,2024,8,August,Product D,Drink,Chocolate,Small,Box,Bandung,670,7500,4000,2024-08-01,5025000
2024-09-01,SKU02,2024,9,September,Product A,Food,Vanilla,Small,Bottle,Bandung,713,10000,6000,2024-09-01,7130000
2024-10-01,SKU02,2024,10,October,Product B,Food,Chocolate,Small,Box,Bandung,1224,15000,5000,2024-10-01,18360000
2024-11-01,SKU02,2024,11,November,Product C,Drink,Chocolate,Medium,Bottle,Bandung,3394,7500,4000,2024-11-01,25455000
2024-12-01,SKU02,2024,12,December,Product D,Drink,Berry,Medium,Box,Bandung,5365,7500,4000,2024-12-01,40237500
2025-01-01,SKU02,2025,1,January,Product A,Food,Vanilla,Large,Box,Bandung,1763,10000,6000,2025-01-01,17630000
2025-02-01,SKU02,2025,2,February,Product B,Food,Vanilla,Large,Bottle,Jakarta,3897,7500,4000,2025-02-01,29227500
2025-03-01,SKU02,2025,3,March,Product C,Drink,Original,Small,Bottle,Bandung,2848,5000,4000,2025-03-01,14240000
2025-04-01,SKU02,2025,4,April,Product D,Drink,Chocolate,Medium,Box,Bandung,1800,15000,4000,2025-04-01,27000000
2025-05-01,SKU02,2025,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,578,5000,4000,2025-05-01,2890000
2025-06-01,SKU02,2025,6,June,Product B,Food,Chocolate,Large,Bottle,Jakarta,4034,5000,4000,2025-06-01,20170000
2025-07-01,SKU02,2025,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,922,10000,5000,2025-07-01,9220000
2025-08-01,SKU02,2025,8,August,Product D,Drink,Original,Large,Box,Bandung,4264,15000,6000,2025-08-01,63960000
2025-09-01,SKU02,2025,9,September,Product A,Food,Berry,Large,Box,Jakarta,1109,7500,6000,2025-09-01,8317500
2025-10-01,SKU02,2025,10,October,Product B,Food,Chocolate,Medium,Box,Jakarta,3451,15000,4000,2025-10-01,51765000
2025-11-01,SKU02,2025,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,5552,10000,4000,2025-11-01,55520000
2025-12-01,SKU02,2025,12,December,Product D,Drink,Chocolate,Small,Box,Bandung,2157,15000,6000,2025-12-01,32355000
2026-01-01,SKU02,2026,1,January,Product A,Food,Chocolate,Large,Box,Bandung,1112,15000,5000,2026-01-01,16680000
2026-02-01,SKU02,2026,2,February,Product B,Food,Original,Small,Box,Bandung,3936,10000,4000,2026-02-01,39360000
2026-03-01,SKU02,2026,3,March,Product C,Drink,Original,Medium,Box,Jakarta,1454,7500,6000,2026-03-01,10905000
2026-04-01,SKU02,2026,4,April,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,1706,7500,5000,2026-04-01,12795000
2026-05-01,SKU02,2026,5,May,Product A,Food,Chocolate,Large,Box,Jakarta,2893,7500,5000,2026-05-01,21697500
2026-06-01,SKU02,2026,6,June,Product B,Food,Berry,Medium,Bottle,Bandung,3029,15000,6000,2026-06-01,45435000
2026-07-01,SKU02,2026,7,July,Product C,Drink,Chocolate,Small,Box,Jakarta,2508,15000,5000,2026-07-01,37620000
2026-08-01,SKU02,2026,8,August,Product D,Drink,Chocolate,Large,Bottle,Bandung,3989,5000,4000,2026-08-01,19945000
2026-09-01,SKU02,2026,9,September,Product A,Food,Vanilla,Small,Box,Bandung,3012,10000,4000,2026-09-01,30120000
2026-10-01,SKU02,2026,10,October,Product B,Food,Chocolate,Small,Bottle,Bandung,1199,10000,4000,2026-10-01,11990000
2026-11-01,SKU02,2026,11,November,Product C,Drink,Berry,Large,Bottle,Jakarta,6438,15000,4000,2026-11-01,96570000
2026-12-01,SKU02,2026,12,December,Product D,Drink,Chocolate,Medium,Box,Jakarta,2080,10000,4000,2026-12-01,20800000
2024-01-01,SKU03,2024,1,January,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10000,5000,2024-01-01,10870000
2024-02-01,SKU03,2024,2,February,Product B,Food,Chocolate,Small,Bottle,Jakarta,1457,15000,4000,2024-02-01,21855000
2024-03-01,SKU03,2024,3,March,Product C,Drink,Vanilla,Medium,Box,Bandung,2210,7500,6000,2024-03-01,16575000
2024-04-01,SKU03,2024,4,April,Product D,Drink,Berry,Medium,Box,Bandung,2118,7500,4000,2024-04-01,15885000
2024-05-01,SKU03,2024,5,May,Product A,Food,Original,Medium,Box,Bandung,1862,5000,6000,2024-05-01,9310000
2024-06-01,SKU03,2024,6,June,Product B,Food,Vanilla,Medium,Box,Jakarta,805,15000,5000,2024-06-01,12075000
2024-07-01,SKU03,2024,7,July,Product C,Drink,Original,Small,Bottle,Bandung,5413,7500,6000,2024-07-01,40597500
2024-08-01,SKU03,2024,8,August,Product D,Drink,Original,Large,Bottle,Bandung,3059,10000,4000,2024-08-01,30590000
2024-09-01,SKU03,2024,9,September,Product A,Food,Berry,Large,Box,Bandung,1494,5000,6000,2024-09-01,7470000
2024-10-01,SKU03,2024,10,October,Product B,Food,Berry,Medium,Box,Bandung,4451,10000,5000,2024-10-01,44510000
2024-11-01,SKU03,2024,11,November,Product C,Drink,Vanilla,Large,Box,Bandung,3384,7500,4000,2024-11-01,25380000
2024-12-01,SKU03,2024,12,December,Product D,Drink,Original,Large,Box,Jakarta,3823,10000,6000,2024-12-01,38230000
2025-01-01,SKU03,2025,1,January,Product A,Food,Berry,Large,Bottle,Jakarta,4030,7500,5000,2025-01-01,30225000
2025-02-01,SKU03,2025,2,February,Product B,Food,Berry,Medium,Box,Bandung,3415,5000,6000,2025-02-01,17075000
2025-03-01,SKU03,2025,3,March,Product C,Drink,Vanilla,Large,Bottle,Bandung,1152,5000,6000,2025-03-01,5760000
2025-04-01,SKU03,2025,4,April,Product D,Drink,Vanilla,Large,Bottle,Bandung,1947,5000,5000,2025-04-01,9735000
2025-05-01,SKU03,2025,5,May,Product A,Food,Original,Medium,Bottle,Bandung,4780,7500,4000,2025-05-01,35850000
2025-06-01,SKU03,2025,6,June,Product B,Food,Chocolate,Medium,Box,Jakarta,1549,5000,4000,2025-06-01,7745000
2025-07-01,SKU03,2025,7,July,Product C,Drink,Berry,Large,Bottle,Jakarta,4458,7500,4000,2025-07-01,33435000
2025-08-01,SKU03,2025,8,August,Product D,Drink,Berry,Medium,Bottle,Jakarta,2566,5000,5000,2025-08-01,12830000
2025-09-01,SKU03,2025,9,September,Product A,Food,Chocolate,Large,Bottle,Jakarta,1136,10000,4000,2025-09-01,11360000
2025-10-01,SKU03,2025,10,October,Product B,Food,Berry,Medium,Bottle,Jakarta,1423,5000,5000,2025-10-01,7115000
2025-11-01,SKU03,2025,11,November,Product C,Drink,Original,Medium,Box,Bandung,4600,10000,4000,2025-11-01,46000000
2025-12-01,SKU03,2025,12,December,Product D,Drink,Chocolate,Small,Bottle,Bandung,1457,15000,5000,2025-12-01,21855000
2026-01-01,SKU03,2026,1,January,Product A,Food,Chocolate,Medium,Box,Jakarta,2370,10000,6000,2026-01-01,23700000
2026-02-01,SKU03,2026,2,February,Product B,Food,Berry,Large,Box,Bandung,2531,15000,6000,2026-02-01,37965000
2026-03-01,SKU03,2026,3,March,Product C,Drink,Vanilla,Small,Bottle,Bandung,3303,7500,6000,2026-03-01,24772500
2026-04-01,SKU03,2026,4,April,Product D,Drink,Vanilla,Small,Bottle,Jakarta,1630,7500,4000,2026-04-01,12225000
2026-05-01,SKU03,2026,5,May,Product A,Food,Chocolate,Large,Box,Bandung,2589,7500,4000,2026-05-01,19417500
2026-06-01,SKU03,2026,6,June,Product B,Food,Original,Medium,Box,Bandung,1432,15000,5000,2026-06-01,21480000
2026-07-01,SKU03,2026,7,July,Product C,Drink,Berry,Small,Box,Jakarta,5014,10000,4000,2026-07-01,50140000
2026-08-01,SKU03,2026,8,August,Product D,Drink,Chocolate,Small,Box,Bandung,1204,5000,5000,2026-08-01,6020000
2026-09-01,SKU03,2026,9,September,Product A,Food,Original,Large,Box,Jakarta,897,5000,4000,2026-09-01,4485000
2026-10-01,SKU03,2026,10,October,Product B,Food,Berry,Large,Box,Bandung,4520,10000,4000,2026-10-01,45200000
2026-11-01,SKU03,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,2409,15000,4000,2026-11-01,36135000
2026-12-01,SKU03,2026,12,December,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5050,5000,5000,2026-12-01,25250000
2024-01-01,SKU04,2024,1,January,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,5000,5000,2024-01-01,11535000
2024-02-01,SKU04,2024,2,February,Product B,Food,Original,Medium,Box,Bandung,2519,5000,6000,2024-02-01,12595000
2024-03-01,SKU04,2024,3,March,Product C,Drink,Original,Large,Box,Bandung,1219,7500,6000,2024-03-01,9142500
2024-04-01,SKU04,2024,4,April,Product D,Drink,Berry,Large,Bottle,Jakarta,1150,5000,6000,2024-04-01,5750000
2024-05-01,SKU04,2024,5,May,Product A,Food,Original,Large,Box,Jakarta,1171,7500,4000,2024-05-01,8782500
2024-06-01,SKU04,2024,6,June,Product B,Food,Vanilla,Large,Box,Jakarta,3237,10000,4000,2024-06-01,32370000
2024-07-01,SKU04,2024,7,July,Product C,Drink,Chocolate,Medium,Box,Jakarta,3125,5000,5000,2024-07-01,15625000
2024-08-01,SKU04,2024,8,August,Product D,Drink,Berry,Small,Bottle,Bandung,3274,15000,4000,2024-08-01,49110000
2024-09-01,SKU04,2024,9,September,Product A,Food,Berry,Large,Box,Bandung,2513,15000,4000,2024-09-01,37695000
2024-10-01,SKU04,2024,10,October,Product B,Food,Original,Medium,Bottle,Bandung,751,10000,4000,2024-10-01,7510000
2024-11-01,SKU04,2024,11,November,Product C,Drink,Vanilla,Small,Bottle,Bandung,682,5000,5000,2024-11-01,3410000
2024-12-01,SKU04,2024,12,December,Product D,Drink,Berry,Large,Bottle,Bandung,1948,10000,4000,2024-12-01,19480000
2025-01-01,SKU04,2025,1,January,Product A,Food,Chocolate,Large,Bottle,Jakarta,4329,10000,4000,2025-01-01,43290000
2025-02-01,SKU04,2025,2,February,Product B,Food,Original,Large,Bottle,Bandung,1703,7500,4000,2025-02-01,12772500
2025-03-01,SKU04,2025,3,March,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3194,5000,4000,2025-03-01,15970000
2025-04-01,SKU04,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Jakarta,3239,10000,6000,2025-04-01,32390000
2025-05-01,SKU04,2025,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,4965,10000,5000,2025-05-01,49650000
2025-06-01,SKU04,2025,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,1564,15000,5000,2025-06-01,23460000
2025-07-01,SKU04,2025,7,July,Product C,Drink,Berry,Small,Box,Jakarta,4474,5000,4000,2025-07-01,22370000
2025-08-01,SKU04,2025,8,August,Product D,Drink,Vanilla,Medium,Box,Jakarta,1591,7500,5000,2025-08-01,11932500
2025-09-01,SKU04,2025,9,September,Product A,Food,Chocolate,Small,Bottle,Bandung,1974,7500,5000,2025-09-01,14805000
2025-10-01,SKU04,2025,10,October,Product B,Food,Chocolate,Medium,Bottle,Bandung,516,15000,4000,2025-10-01,7740000
2025-11-01,SKU04,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,6485,7500,6000,2025-11-01,48637500
2025-12-01,SKU04,2025,12,December,Product D,Drink,Vanilla,Large,Bottle,Jakarta,3213,15000,6000,2025-12-01,48195000
2026-01-01,SKU04,2026,1,January,Product A,Food,Berry,Medium,Box,Jakarta,4990,10000,5000,2026-01-01,49900000
2026-02-01,SKU04,2026,2,February,Product B,Food,Berry,Medium,Box,Jakarta,1385,15000,6000,2026-02-01,20775000
2026-03-01,SKU04,2026,3,March,Product C,Drink,Berry,Medium,Bottle,Jakarta,1002,10000,5000,2026-03-01,10020000
2026-04-01,SKU04,2026,4,April,Product D,Drink,Original,Medium,Bottle,Bandung,1628,15000,4000,2026-04-01,24420000
2026-05-01,SKU04,2026,5,May,Product A,Food,Berry,Medium,Box,Jakarta,3562,10000,4000,2026-05-01,35620000
2026-06-01,SKU04,2026,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,3562,15000,6000,2026-06-01,53430000
2026-07-01,SKU04,2026,7,July,Product C,Drink,Berry,Small,Box,Bandung,2730,5000,5000,2026-07-01,13650000
2026-08-01,SKU04,2026,8,August,Product D,Drink,Vanilla,Small,Bottle,Bandung,3781,15000,5000,2026-08-01,56715000
2026-09-01,SKU04,2026,9,September,Product A,Food,Original,Large,Box,Bandung,3084,7500,6000,2026-09-01,23130000
2026-10-01,SKU04,2026,10,October,Product B,Food,Original,Large,Box,Bandung,3099,7500,6000,2026-10-01,23242500
2026-11-01,SKU04,2026,11,November,Product C,Drink,Berry,Large,Bottle,Bandung,4101,5000,6000,2026-11-01,20505000
2026-12-01,SKU04,2026,12,December,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1954,5000,5000,2026-12-01,9770000
2024-01-01,SKU05,2024,1,January,Product A,Food,Berry,Medium,Bottle,Bandung,966,5000,4000,2024-01-01,4830000
2024-02-01,SKU05,2024,2,February,Product B,Food,Berry,Small,Bottle,Bandung,3814,7500,5000,2024-02-01,28605000
2024-03-01,SKU05,2024,3,March,Product C,Drink,Berry,Small,Bottle,Jakarta,3256,10000,4000,2024-03-01,32560000
2024-04-01,SKU05,2024,4,April,Product D,Drink,Vanilla,Large,Bottle,Bandung,4780,10000,6000,2024-04-01,47800000
2024-05-01,SKU05,2024,5,May,Product A,Food,Original,Medium,Bottle,Jakarta,4819,10000,6000,2024-05-01,48190000
2024-06-01,SKU05,2024,6,June,Product B,Food,Berry,Medium,Bottle,Bandung,4430,15000,5000,2024-06-01,66450000
2024-07-01,SKU05,2024,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2825,10000,4000,2024-07-01,28250000
2024-08-01,SKU05,2024,8,August,Product D,Drink,Berry,Small,Bottle,Bandung,1286,5000,4000,2024-08-01,6430000
2024-09-01,SKU05,2024,9,September,Product A,Food,Vanilla,Large,Box,Jakarta,2459,5000,4000,2024-09-01,12295000
2024-10-01,SKU05,2024,10,October,Product B,Food,Original,Large,Box,Bandung,3931,10000,6000,2024-10-01,39310000
2024-11-01,SKU05,2024,11,November,Product C,Drink,Chocolate,Small,Box,Jakarta,6026,5000,5000,2024-11-01,30130000
2024-12-01,SKU05,2024,12,December,Product D,Drink,Vanilla,Small,Box,Bandung,5954,15000,6000,2024-12-01,89310000
2025-01-01,SKU05,2025,1,January,Product A,Food,Vanilla,Large,Box,Bandung,4170,5000,4000,2025-01-01,20850000
2025-02-01,SKU05,2025,2,February,Product B,Food,Vanilla,Large,Box,Jakarta,1399,15000,6000,2025-02-01,20985000
2025-03-01,SKU05,2025,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,723,5000,4000,2025-03-01,3615000
2025-04-01,SKU05,2025,4,April,Product D,Drink,Vanilla,Medium,Bottle,Bandung,2655,15000,5000,2025-04-01,39825000
2025-05-01,SKU05,2025,5,May,Product A,Food,Vanilla,Large,Bottle,Jakarta,3157,15000,6000,2025-05-01,47355000
2025-06-01,SKU05,2025,6,June,Product B,Food,Berry,Medium,Bottle,Jakarta,1075,15000,5000,2025-06-01,16125000
2025-07-01,SKU05,2025,7,July,Product C,Drink,Berry,Large,Box,Bandung,5496,10000,6000,2025-07-01,54960000
2025-08-01,SKU05,2025,8,August,Product D,Drink,Berry,Large,Box,Jakarta,1232,10000,4000,2025-08-01,12320000
2025-09-01,SKU05,2025,9,September,Product A,Food,Vanilla,Medium,Bottle,Jakarta,4647,15000,6000,2025-09-01,69705000
2025-10-01,SKU05,2025,10,October,Product B,Food,Original,Large,Bottle,Bandung,1075,15000,6000,2025-10-01,16125000
2025-11-01,SKU05,2025,11,November,Product C,Drink,Vanilla,Large,Box,Bandung,4527,15000,5000,2025-11-01,67905000
2025-12-01,SKU05,2025,12,December,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5237,7500,6000,2025-12-01,39277500
2026-01-01,SKU05,2026,1,January,Product A,Food,Berry,Large,Box,Bandung,3941,10000,6000,2026-01-01,39410000
2026-02-01,SKU05,2026,2,February,Product B,Food,Chocolate,Small,Box,Bandung,3527,7500,4000,2026-02-01,26452500
2026-03-01,SKU05,2026,3,March,Product C,Drink,Berry,Medium,Box,Bandung,1020,15000,6000,2026-03-01,15300000
2026-04-01,SKU05,2026,4,April,Product D,Drink,Original,Small,Bottle,Jakarta,4331,15000,4000,2026-04-01,64965000
2026-05-01,SKU05,2026,5,May,Product A,Food,Original,Large,Box,Jakarta,3281,15000,6000,2026-05-01,49215000
2026-06-01,SKU05,2026,6,June,Product B,Food,Original,Large,Box,Jakarta,4903,15000,5000,2026-06-01,73545000
2026-07-01,SKU05,2026,7,July,Product C,Drink,Chocolate,Medium,Box,Bandung,1454,7500,5000,2026-07-01,10905000
2026-08-01,SKU05,2026,8,August,Product D,Drink,Vanilla,Medium,Bottle,Bandung,546,7500,6000,2026-08-01,4095000
2026-09-01,SKU05,2026,9,September,Product A,Food,Vanilla,Small,Bottle,Jakarta,1956,7500,4000,2026-09-01,14670000
2026-10-01,SKU05,2026,10,October,Product B,Food,Original,Medium,Box,Bandung,1714,10000,4000,2026-10-01,17140000
2026-11-01,SKU05,2026,11,November,Product C,Drink,Original,Large,Box,Bandung,5478,7500,6000,2026-11-01,41085000
2026-12-01,SKU05,2026,12,December,Product D,Drink,Berry,Large,Box,Bandung,6112,15000,5000,2026-12-01,91680000
2024-01-01,SKU06,2024,1,January,Product A,Food,Original,Large,Bottle,Jakarta,1075,15000,4000,2024-01-01,16125000
2024-02-01,SKU06,2024,2,February,Product B,Food,Chocolate,Medium,Box,Jakarta,4610,10000,6000,2024-02-01,46100000
2024-03-01,SKU06,2024,3,March,Product C,Drink,Vanilla,Small,Box,Jakarta,3224,15000,5000,2024-03-01,48360000
2024-04-01,SKU06,2024,4,April,Product D,Drink,Chocolate,Medium,Box,Jakarta,2301,7500,5000,2024-04-01,17257500
2024-05-01,SKU06,2024,5,May,Product A,Food,Vanilla,Large,Box,Bandung,3496,5000,5000,2024-05-01,17480000
2024-06-01,SKU06,2024,6,June,Product B,Food,Berry,Medium,Box,Bandung,4547,5000,6000,2024-06-01,22735000
2024-07-01,SKU06,2024,7,July,Product C,Drink,Berry,Large,Bottle,Jakarta,3276,10000,5000,2024-07-01,32760000
2024-08-01,SKU06,2024,8,August,Product D,Drink,Chocolate,Large,Box,Jakarta,2275,5000,6000,2024-08-01,11375000
2024-09-01,SKU06,2024,9,September,Product A,Food,Vanilla,Small,Bottle,Bandung,4846,7500,5000,2024-09-01,36345000
2024-10-01,SKU06,2024,10,October,Product B,Food,Berry,Medium,Box,Jakarta,720,7500,4000,2024-10-01,5400000
2024-11-01,SKU06,2024,11,November,Product C,Drink,Original,Medium,Box,Bandung,1547,7500,4000,2024-11-01,11602500
2024-12-01,SKU06,2024,12,December,Product D,Drink,Chocolate,Medium,Bottle,Bandung,4727,5000,4000,2024-12-01,23635000
2025-01-01,SKU06,2025,1,January,Product A,Food,Vanilla,Medium,Bottle,Jakarta,3775,10000,5000,2025-01-01,37750000
2025-02-01,SKU06,2025,2,February,Product B,Food,Original,Medium,Bottle,Bandung,988,15000,6000,2025-02-01,14820000
2025-03-01,SKU06,2025,3,March,Product C,Drink,Original,Small,Bottle,Jakarta,2591,10000,6000,2025-03-01,25910000
2025-04-01,SKU06,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Bandung,3390,7500,6000,2025-04-01,25425000
2025-05-01,SKU06,2025,5,May,Product A,Food,Vanilla,Large,Bottle,Bandung,2287,7500,5000,2025-05-01,17152500
2025-06-01,SKU06,2025,6,June,Product B,Food,Original,Small,Bottle,Bandung,5700,7500,5000,2025-06-01,42750000
2025-07-01,SKU06,2025,7,July,Product C,Drink,Chocolate,Large,Box,Jakarta,4087,15000,4000,2025-07-01,61305000
2025-08-01,SKU06,2025,8,August,Product D,Drink,Original,Large,Box,Bandung,1919,10000,5000,2025-08-01,19190000
2025-09-01,SKU06,2025,9,September,Product A,Food,Berry,Medium,Bottle,Jakarta,1192,5000,6000,2025-09-01,5960000
2025-10-01,SKU06,2025,10,October,Product B,Food,Berry,Large,Bottle,Bandung,1856,7500,4000,2025-10-01,13920000
2025-11-01,SKU06,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,1203,10000,5000,2025-11-01,12030000
2025-12-01,SKU06,2025,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,807,5000,6000,2025-12-01,4035000
2026-01-01,SKU06,2026,1,January,Product A,Food,Original,Small,Bottle,Bandung,1897,15000,4000,2026-01-01,28455000
2026-02-01,SKU06,2026,2,February,Product B,Food,Original,Medium,Box,Jakarta,3841,10000,6000,2026-02-01,38410000
2026-03-01,SKU06,2026,3,March,Product C,Drink,Berry,Small,Box,Jakarta,4820,10000,6000,2026-03-01,48200000
2026-04-01,SKU06,2026,4,April,Product D,Drink,Vanilla,Large,Bottle,Jakarta,2371,7500,6000,2026-04-01,17782500
2026-05-01,SKU06,2026,5,May,Product A,Food,Original,Medium,Bottle,Bandung,2850,10000,4000,2026-05-01,28500000
2026-06-01,SKU06,2026,6,June,Product B,Food,Original,Medium,Bottle,Jakarta,924,15000,4000,2026-06-01,13860000
2026-07-01,SKU06,2026,7,July,Product C,Drink,Original,Large,Bottle,Jakarta,3834,10000,6000,2026-07-01,38340000
2026-08-01,SKU06,2026,8,August,Product D,Drink,Vanilla,Small,Bottle,Jakarta,2090,7500,5000,2026-08-01,15675000
2026-09-01,SKU06,2026,9,September,Product A,Food,Chocolate,Small,Bottle,Bandung,2411,15000,6000,2026-09-01,36165000
2026-10-01,SKU06,2026,10,October,Product B,Food,Original,Medium,Box,Jakarta,4837,5000,4000,2026-10-01,24185000
2026-11-01,SKU06,2026,11,November,Product C,Drink,Original,Large,Box,Bandung,4634,5000,4000,2026-11-01,23170000
