Tanggal,SKU,Tahun,Bulan,NamaBulan,Produk,Kategori,Rasa,Ukuran,Packing,Lokasi,Permintaan,Harga,Kapasitas
2026-01-01,SKU01,2026,1,January,Product A,Food,Chocolate,Large,Bottle,Bandung,3299,5000,4000
2026-02-01,SKU01,2026,2,February,Product B,Food,Vanilla,Medium,Bottle,Jakarta,870,15000,5000
2026-03-01,SKU01,2026,3,March,Product C,Drink,Original,Large,Bottle,Bandung,849,7500,4000
2026-04-01,SKU01,2026,4,April,Product D,Drink,Berry,Medium,Box,Jakarta,3592,5000,4000
2026-05-01,SKU01,2026,5,May,Product A,Food,Vanilla,Large,Bottle,Bandung,4236,10000,5000
2026-06-01,SKU01,2026,6,June,Product B,Food,Berry,Large,Box,Jakarta,1330,15000,4000
2026-07-01,SKU01,2026,7,July,Product C,Drink,Chocolate,Small,Bottle,Bandung,4630,5000,6000
2026-08-01,SKU01,2026,8,August,Product D,Drink,Berry,Medium,Bottle,Jakarta,2689,15000,5000
2026-09-01,SKU01,2026,9,September,Product A,Food,Vanilla,Large,Bottle,Jakarta,4952,5000,5000
2026-10-01,SKU01,2026,10,October,Product B,Food,Original,Small,Bottle,Bandung,2746,10000,6000
2026-11-01,SKU01,2026,11,November,Product C,Drink,Berry,Small,Bottle,Bandung,3939,15000,5000
2026-12-01,SKU01,2026,12,December,Product D,Drink,Chocolate,Large,Box,Jakarta,2863,10000,4000
2024-01-01,SKU02,2024,1,January,Product A,Food,Vanilla,Medium,Box,Bandung,2834,5000,6000
2024-02-01,SKU02,2024,2,February,Product B,Food,Vanilla,Large,Box,Jakarta,834,7500,6000
2024-03-01,SKU02,2024,3,March,Product C,Drink,Chocolate,Medium,Bottle,Jakarta,2923,5000,4000
2024-04-01,SKU02,2024,4,April,Product D,Drink,Original,Medium,Bottle,Jakarta,4825,15000,4000
2024-05-01,SKU02,2024,5,May,Product A,Food,Vanilla,Medium,Bottle,Jakarta,2875,5000,6000
2024-06-01,SKU02,2024,6,June,Product B,Food,Original,Small,Box,Bandung,2837,15000,4000
2024-07-01,SKU02,2024,7,July,Product C,Drink,Berry,Medium,Box,Jakarta,742,7500,4000
2024-08-01,SKU02,2024,8,August,Product D,Drink,Chocolate,Small,Box,Bandung,670,7500,4000
2024-09-01,SKU02,2024,9,September,Product A,Food,Vanilla,Small,Bottle,Bandung,713,10000,6000
2024-10-01,SKU02,2024,10,October,Product B,Food,Chocolate,Small,Box,Bandung,1224,15000,5000
2024-11-01,SKU02,2024,11,November,Product C,Drink,Chocolate,Medium,Bottle,Bandung,3394,7500,4000
2024-12-01,SKU02,2024,12,December,Product D,Drink,Berry,Medium,Box,Bandung,5365,7500,4000
2025-01-01,SKU02,2025,1,January,Product A,Food,Vanilla,Large,Box,Bandung,1763,10000,6000
2025-02-01,SKU02,2025,2,February,Product B,Food,Vanilla,Large,Bottle,Jakarta,3897,7500,4000
2025-03-01,SKU02,2025,3,March,Product C,Drink,Original,Small,Bottle,Bandung,2848,5000,4000
2025-04-01,SKU02,2025,4,April,Product D,Drink,Chocolate,Medium,Box,Bandung,1800,15000,4000
2025-05-01,SKU02,2025,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,578,5000,4000
2025-06-01,SKU02,2025,6,June,Product B,Food,Chocolate,Large,Bottle,Jakarta,4034,5000,4000
2025-07-01,SKU02,2025,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,922,10000,5000
2025-08-01,SKU02,2025,8,August,Product D,Drink,Original,Large,Box,Bandung,4264,15000,6000
2025-09-01,SKU02,2025,9,September,Product A,Food,Berry,Large,Box,Jakarta,1109,7500,6000
2025-10-01,SKU02,2025,10,October,Product B,Food,Chocolate,Medium,Box,Jakarta,3451,15000,4000
2025-11-01,SKU02,2025,11,November,Product C,Drink,Berry,Small,Bottle,Jakarta,5552,10000,4000
2025-12-01,SKU02,2025,12,December,Product D,Drink,Chocolate,Small,Box,Bandung,2157,15000,6000
2026-01-01,SKU02,2026,1,January,Product A,Food,Chocolate,Large,Box,Bandung,1112,15000,5000
2026-02-01,SKU02,2026,2,February,Product B,Food,Original,Small,Box,Bandung,3936,10000,4000
2026-03-01,SKU02,2026,3,March,Product C,Drink,Original,Medium,Box,Jakarta,1454,7500,6000
2026-04-01,SKU02,2026,4,April,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,1706,7500,5000
2026-05-01,SKU02,2026,5,May,Product A,Food,Chocolate,Large,Box,Jakarta,2893,7500,5000
2026-06-01,SKU02,2026,6,June,Product B,Food,Berry,Medium,Bottle,Bandung,3029,15000,6000
2026-07-01,SKU02,2026,7,July,Product C,Drink,Chocolate,Small,Box,Jakarta,2508,15000,5000
2026-08-01,SKU02,2026,8,August,Product D,Drink,Chocolate,Large,Bottle,Bandung,3989,5000,4000
2026-09-01,SKU02,2026,9,September,Product A,Food,Vanilla,Small,Box,Bandung,3012,10000,4000
2026-10-01,SKU02,2026,10,October,Product B,Food,Chocolate,Small,Bottle,Bandung,1199,10000,4000
2026-11-01,SKU02,2026,11,November,Product C,Drink,Berry,Large,Bottle,Jakarta,6438,15000,4000
2026-12-01,SKU02,2026,12,December,Product D,Drink,Chocolate,Medium,Box,Jakarta,2080,10000,4000
2024-01-01,SKU03,2024,1,January,Product A,Food,Vanilla,Small,Bottle,Jakarta,1087,10000,5000
2024-02-01,SKU03,2024,2,February,Product B,Food,Chocolate,Small,Bottle,Jakarta,1457,15000,4000
2024-03-01,SKU03,2024,3,March,Product C,Drink,Vanilla,Medium,Box,Bandung,2210,7500,6000
2024-04-01,SKU03,2024,4,April,Product D,Drink,Berry,Medium,Box,Bandung,2118,7500,4000
2024-05-01,SKU03,2024,5,May,Product A,Food,Original,Medium,Box,Bandung,1862,5000,6000
2024-06-01,SKU03,2024,6,June,Product B,Food,Vanilla,Medium,Box,Jakarta,805,15000,5000
2024-07-01,SKU03,2024,7,July,Product C,Drink,Original,Small,Bottle,Bandung,5413,7500,6000
2024-08-01,SKU03,2024,8,August,Product D,Drink,Original,Large,Bottle,Bandung,3059,10000,4000
2024-09-01,SKU03,2024,9,September,Product A,Food,Berry,Large,Box,Bandung,1494,5000,6000
2024-10-01,SKU03,2024,10,October,Product B,Food,Berry,Medium,Box,Bandung,4451,10000,5000
2024-11-01,SKU03,2024,11,November,Product C,Drink,Vanilla,Large,Box,Bandung,3384,7500,4000
2024-12-01,SKU03,2024,12,December,Product D,Drink,Original,Large,Box,Jakarta,3823,10000,6000
2025-01-01,SKU03,2025,1,January,Product A,Food,Berry,Large,Bottle,Jakarta,4030,7500,5000
2025-02-01,SKU03,2025,2,February,Product B,Food,Berry,Medium,Box,Bandung,3415,5000,6000
2025-03-01,SKU03,2025,3,March,Product C,Drink,Vanilla,Large,Bottle,Bandung,1152,5000,6000
2025-04-01,SKU03,2025,4,April,Product D,Drink,Vanilla,Large,Bottle,Bandung,1947,5000,5000
2025-05-01,SKU03,2025,5,May,Product A,Food,Original,Medium,Bottle,Bandung,4780,7500,4000
2025-06-01,SKU03,2025,6,June,Product B,Food,Chocolate,Medium,Box,Jakarta,1549,5000,4000
2025-07-01,SKU03,2025,7,July,Product C,Drink,Berry,Large,Bottle,Jakarta,4458,7500,4000
2025-08-01,SKU03,2025,8,August,Product D,Drink,Berry,Medium,Bottle,Jakarta,2566,5000,5000
2025-09-01,SKU03,2025,9,September,Product A,Food,Chocolate,Large,Bottle,Jakarta,1136,10000,4000
2025-10-01,SKU03,2025,10,October,Product B,Food,Berry,Medium,Bottle,Jakarta,1423,5000,5000
2025-11-01,SKU03,2025,11,November,Product C,Drink,Original,Medium,Box,Bandung,4600,10000,4000
2025-12-01,SKU03,2025,12,December,Product D,Drink,Chocolate,Small,Bottle,Bandung,1457,15000,5000
2026-01-01,SKU03,2026,1,January,Product A,Food,Chocolate,Medium,Box,Jakarta,2370,10000,6000
2026-02-01,SKU03,2026,2,February,Product B,Food,Berry,Large,Box,Bandung,2531,15000,6000
2026-03-01,SKU03,2026,3,March,Product C,Drink,Vanilla,Small,Bottle,Bandung,3303,7500,6000
2026-04-01,SKU03,2026,4,April,Product D,Drink,Vanilla,Small,Bottle,Jakarta,1630,7500,4000
2026-05-01,SKU03,2026,5,May,Product A,Food,Chocolate,Large,Box,Bandung,2589,7500,4000
2026-06-01,SKU03,2026,6,June,Product B,Food,Original,Medium,Box,Bandung,1432,15000,5000
2026-07-01,SKU03,2026,7,July,Product C,Drink,Berry,Small,Box,Jakarta,5014,10000,4000
2026-08-01,SKU03,2026,8,August,Product D,Drink,Chocolate,Small,Box,Bandung,1204,5000,5000
2026-09-01,SKU03,2026,9,September,Product A,Food,Original,Large,Box,Jakarta,897,5000,4000
2026-10-01,SKU03,2026,10,October,Product B,Food,Berry,Large,Box,Bandung,4520,10000,4000
2026-11-01,SKU03,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,2409,15000,4000
2026-12-01,SKU03,2026,12,December,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5050,5000,5000
2024-01-01,SKU04,2024,1,January,Product A,Food,Vanilla,Medium,Bottle,Bandung,2307,5000,5000
2024-02-01,SKU04,2024,2,February,Product B,Food,Original,Medium,Box,Bandung,2519,5000,6000
2024-03-01,SKU04,2024,3,March,Product C,Drink,Original,Large,Box,Bandung,1219,7500,6000
2024-04-01,SKU04,2024,4,April,Product D,Drink,Berry,Large,Bottle,Jakarta,1150,5000,6000
2024-05-01,SKU04,2024,5,May,Product A,Food,Original,Large,Box,Jakarta,1171,7500,4000
2024-06-01,SKU04,2024,6,June,Product B,Food,Vanilla,Large,Box,Jakarta,3237,10000,4000
2024-07-01,SKU04,2024,7,July,Product C,Drink,Chocolate,Medium,Box,Jakarta,3125,5000,5000
2024-08-01,SKU04,2024,8,August,Product D,Drink,Berry,Small,Bottle,Bandung,3274,15000,4000
2024-09-01,SKU04,2024,9,September,Product A,Food,Berry,Large,Box,Bandung,2513,15000,4000
2024-10-01,SKU04,2024,10,October,Product B,Food,Original,Medium,Bottle,Bandung,751,10000,4000
2024-11-01,SKU04,2024,11,November,Product C,Drink,Vanilla,Small,Bottle,Bandung,682,5000,5000
2024-12-01,SKU04,2024,12,December,Product D,Drink,Berry,Large,Bottle,Bandung,1948,10000,4000
2025-01-01,SKU04,2025,1,January,Product A,Food,Chocolate,Large,Bottle,Jakarta,4329,10000,4000
2025-02-01,SKU04,2025,2,February,Product B,Food,Original,Large,Bottle,Bandung,1703,7500,4000
2025-03-01,SKU04,2025,3,March,Product C,Drink,Vanilla,Medium,Bottle,Jakarta,3194,5000,4000
2025-04-01,SKU04,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Jakarta,3239,10000,6000
2025-05-01,SKU04,2025,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,4965,10000,5000
2025-06-01,SKU04,2025,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,1564,15000,5000
2025-07-01,SKU04,2025,7,July,Product C,Drink,Berry,Small,Box,Jakarta,4474,5000,4000
2025-08-01,SKU04,2025,8,August,Product D,Drink,Vanilla,Medium,Box,Jakarta,1591,7500,5000
2025-09-01,SKU04,2025,9,September,Product A,Food,Chocolate,Small,Bottle,Bandung,1974,7500,5000
2025-10-01,SKU04,2025,10,October,Product B,Food,Chocolate,Medium,Bottle,Bandung,516,15000,4000
2025-11-01,SKU04,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,6485,7500,6000
2025-12-01,SKU04,2025,12,December,Product D,Drink,Vanilla,Large,Bottle,Jakarta,3213,15000,6000
2026-01-01,SKU04,2026,1,January,Product A,Food,Berry,Medium,Box,Jakarta,4990,10000,5000
2026-02-01,SKU04,2026,2,February,Product B,Food,Berry,Medium,Box,Jakarta,1385,15000,6000
2026-03-01,SKU04,2026,3,March,Product C,Drink,Berry,Medium,Bottle,Jakarta,1002,10000,5000
2026-04-01,SKU04,2026,4,April,Product D,Drink,Original,Medium,Bottle,Bandung,1628,15000,4000
2026-05-01,SKU04,2026,5,May,Product A,Food,Berry,Medium,Box,Jakarta,3562,10000,4000
2026-06-01,SKU04,2026,6,June,Product B,Food,Berry,Large,Bottle,Jakarta,3562,15000,6000
2026-07-01,SKU04,2026,7,July,Product C,Drink,Berry,Small,Box,Bandung,2730,5000,5000
2026-08-01,SKU04,2026,8,August,Product D,Drink,Vanilla,Small,Bottle,Bandung,3781,15000,5000
2026-09-01,SKU04,2026,9,September,Product A,Food,Original,Large,Box,Bandung,3084,7500,6000
2026-10-01,SKU04,2026,10,October,Product B,Food,Original,Large,Box,Bandung,3099,7500,6000
2026-11-01,SKU04,2026,11,November,Product C,Drink,Berry,Large,Bottle,Bandung,4101,5000,6000
2026-12-01,SKU04,2026,12,December,Product D,Drink,Chocolate,Large,Bottle,Jakarta,1954,5000,5000
2024-01-01,SKU05,2024,1,January,Product A,Food,Berry,Medium,Bottle,Bandung,966,5000,4000
2024-02-01,SKU05,2024,2,February,Product B,Food,Berry,Small,Bottle,Bandung,3814,7500,5000
2024-03-01,SKU05,2024,3,March,Product C,Drink,Berry,Small,Bottle,Jakarta,3256,10000,4000
2024-04-01,SKU05,2024,4,April,Product D,Drink,Vanilla,Large,Bottle,Bandung,4780,10000,6000
2024-05-01,SKU05,2024,5,May,Product A,Food,Original,Medium,Bottle,Jakarta,4819,10000,6000
2024-06-01,SKU05,2024,6,June,Product B,Food,Berry,Medium,Bottle,Bandung,4430,15000,5000
2024-07-01,SKU05,2024,7,July,Product C,Drink,Vanilla,Large,Bottle,Jakarta,2825,10000,4000
2024-08-01,SKU05,2024,8,August,Product D,Drink,Berry,Small,Bottle,Bandung,1286,5000,4000
2024-09-01,SKU05,2024,9,September,Product A,Food,Vanilla,Large,Box,Jakarta,2459,5000,4000
2024-10-01,SKU05,2024,10,October,Product B,Food,Original,Large,Box,Bandung,3931,10000,6000
2024-11-01,SKU05,2024,11,November,Product C,Drink,Chocolate,Small,Box,Jakarta,6026,5000,5000
2024-12-01,SKU05,2024,12,December,Product D,Drink,Vanilla,Small,Box,Bandung,5954,15000,6000
2025-01-01,SKU05,2025,1,January,Product A,Food,Vanilla,Large,Box,Bandung,4170,5000,4000
2025-02-01,SKU05,2025,2,February,Product B,Food,Vanilla,Large,Box,Jakarta,1399,15000,6000
2025-03-01,SKU05,2025,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,723,5000,4000
2025-04-01,SKU05,2025,4,April,Product D,Drink,Vanilla,Medium,Bottle,Bandung,2655,15000,5000
2025-05-01,SKU05,2025,5,May,Product A,Food,Vanilla,Large,Bottle,Jakarta,3157,15000,6000
2025-06-01,SKU05,2025,6,June,Product B,Food,Berry,Medium,Bottle,Jakarta,1075,15000,5000
2025-07-01,SKU05,2025,7,July,Product C,Drink,Berry,Large,Box,Bandung,5496,10000,6000
2025-08-01,SKU05,2025,8,August,Product D,Drink,Berry,Large,Box,Jakarta,1232,10000,4000
2025-09-01,SKU05,2025,9,September,Product A,Food,Vanilla,Medium,Bottle,Jakarta,4647,15000,6000
2025-10-01,SKU05,2025,10,October,Product B,Food,Original,Large,Bottle,Bandung,1075,15000,6000
2025-11-01,SKU05,2025,11,November,Product C,Drink,Vanilla,Large,Box,Bandung,4527,15000,5000
2025-12-01,SKU05,2025,12,December,Product D,Drink,Vanilla,Small,Bottle,Jakarta,5237,7500,6000
2026-01-01,SKU05,2026,1,January,Product A,Food,Berry,Large,Box,Bandung,3941,10000,6000
2026-02-01,SKU05,2026,2,February,Product B,Food,Chocolate,Small,Box,Bandung,3527,7500,4000
2026-03-01,SKU05,2026,3,March,Product C,Drink,Berry,Medium,Box,Bandung,1020,15000,6000
2026-04-01,SKU05,2026,4,April,Product D,Drink,Original,Small,Bottle,Jakarta,4331,15000,4000
2026-05-01,SKU05,2026,5,May,Product A,Food,Original,Large,Box,Jakarta,3281,15000,6000
2026-06-01,SKU05,2026,6,June,Product B,Food,Original,Large,Box,Jakarta,4903,15000,5000
2026-07-01,SKU05,2026,7,July,Product C,Drink,Chocolate,Medium,Box,Bandung,1454,7500,5000
2026-08-01,SKU05,2026,8,August,Product D,Drink,Vanilla,Medium,Bottle,Bandung,546,7500,6000
2026-09-01,SKU05,2026,9,September,Product A,Food,Vanilla,Small,Bottle,Jakarta,1956,7500,4000
2026-10-01,SKU05,2026,10,October,Product B,Food,Original,Medium,Box,Bandung,1714,10000,4000
2026-11-01,SKU05,2026,11,November,Product C,Drink,Original,Large,Box,Bandung,5478,7500,6000
2026-12-01,SKU05,2026,12,December,Product D,Drink,Berry,Large,Box,Bandung,6112,15000,5000
2024-01-01,SKU06,2024,1,January,Product A,Food,Original,Large,Bottle,Jakarta,1075,15000,4000
2024-02-01,SKU06,2024,2,February,Product B,Food,Chocolate,Medium,Box,Jakarta,4610,10000,6000
2024-03-01,SKU06,2024,3,March,Product C,Drink,Vanilla,Small,Box,Jakarta,3224,15000,5000
2024-04-01,SKU06,2024,4,April,Product D,Drink,Chocolate,Medium,Box,Jakarta,2301,7500,5000
2024-05-01,SKU06,2024,5,May,Product A,Food,Vanilla,Large,Box,Bandung,3496,5000,5000
2024-06-01,SKU06,2024,6,June,Product B,Food,Berry,Medium,Box,Bandung,4547,5000,6000
2024-07-01,SKU06,2024,7,July,Product C,Drink,Berry,Large,Bottle,Jakarta,3276,10000,5000
2024-08-01,SKU06,2024,8,August,Product D,Drink,Chocolate,Large,Box,Jakarta,2275,5000,6000
2024-09-01,SKU06,2024,9,September,Product A,Food,Vanilla,Small,Bottle,Bandung,4846,7500,5000
2024-10-01,SKU06,2024,10,October,Product B,Food,Berry,Medium,Box,Jakarta,720,7500,4000
2024-11-01,SKU06,2024,11,November,Product C,Drink,Original,Medium,Box,Bandung,1547,7500,4000
2024-12-01,SKU06,2024,12,December,Product D,Drink,Chocolate,Medium,Bottle,Bandung,4727,5000,4000
2025-01-01,SKU06,2025,1,January,Product A,Food,Vanilla,Medium,Bottle,Jakarta,3775,10000,5000
2025-02-01,SKU06,2025,2,February,Product B,Food,Original,Medium,Bottle,Bandung,988,15000,6000
2025-03-01,SKU06,2025,3,March,Product C,Drink,Original,Small,Bottle,Jakarta,2591,10000,6000
2025-04-01,SKU06,2025,4,April,Product D,Drink,Vanilla,Small,Bottle,Bandung,3390,7500,6000
2025-05-01,SKU06,2025,5,May,Product A,Food,Vanilla,Large,Bottle,Bandung,2287,7500,5000
2025-06-01,SKU06,2025,6,June,Product B,Food,Original,Small,Bottle,Bandung,5700,7500,5000
2025-07-01,SKU06,2025,7,July,Product C,Drink,Chocolate,Large,Box,Jakarta,4087,15000,4000
2025-08-01,SKU06,2025,8,August,Product D,Drink,Original,Large,Box,Bandung,1919,10000,5000
2025-09-01,SKU06,2025,9,September,Product A,Food,Berry,Medium,Bottle,Jakarta,1192,5000,6000
2025-10-01,SKU06,2025,10,October,Product B,Food,Berry,Large,Bottle,Bandung,1856,7500,4000
2025-11-01,SKU06,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,1203,10000,5000
2025-12-01,SKU06,2025,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,807,5000,6000
2026-01-01,SKU06,2026,1,January,Product A,Food,Original,Small,Bottle,Bandung,1897,15000,4000
2026-02-01,SKU06,2026,2,February,Product B,Food,Original,Medium,Box,Jakarta,3841,10000,6000
2026-03-01,SKU06,2026,3,March,Product C,Drink,Berry,Small,Box,Jakarta,4820,10000,6000
2026-04-01,SKU06,2026,4,April,Product D,Drink,Vanilla,Large,Bottle,Jakarta,2371,7500,6000
2026-05-01,SKU06,2026,5,May,Product A,Food,Original,Medium,Bottle,Bandung,2850,10000,4000
2026-06-01,SKU06,2026,6,June,Product B,Food,Original,Medium,Bottle,Jakarta,924,15000,4000
2026-07-01,SKU06,2026,7,July,Product C,Drink,Original,Large,Bottle,Jakarta,3834,10000,6000
2026-08-01,SKU06,2026,8,August,Product D,Drink,Vanilla,Small,Bottle,Jakarta,2090,7500,5000
2026-09-01,SKU06,2026,9,September,Product A,Food,Chocolate,Small,Bottle,Bandung,2411,15000,6000
2026-10-01,SKU06,2026,10,October,Product B,Food,Original,Medium,Box,Jakarta,4837,5000,4000
2026-11-01,SKU06,2026,11,November,Product C,Drink,Original,Large,Box,Bandung,4634,5000,4000
2026-12-01,SKU06,2026,12,December,Product D,Drink,Original,Small,Bottle,Jakarta,4853,15000,4000
2024-01-01,SKU07,2024,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,1268,10000,4000
2024-02-01,SKU07,2024,2,February,Product B,Food,Chocolate,Large,Bottle,Jakarta,1416,5000,4000
2024-03-01,SKU07,2024,3,March,Product C,Drink,Berry,Large,Box,Jakarta,4444,10000,6000
2024-04-01,SKU07,2024,4,April,Product D,Drink,Vanilla,Medium,Bottle,Jakarta,4269,10000,6000
2024-05-01,SKU07,2024,5,May,Product A,Food,Original,Small,Box,Jakarta,3743,7500,6000
2024-06-01,SKU07,2024,6,June,Product B,Food,Vanilla,Large,Box,Jakarta,2030,10000,6000
2024-07-01,SKU07,2024,7,July,Product C,Drink,Chocolate,Large,Box,Bandung,1662,15000,5000
2024-08-01,SKU07,2024,8,August,Product D,Drink,Vanilla,Large,Box,Bandung,2724,5000,6000
2024-09-01,SKU07,2024,9,September,Product A,Food,Original,Small,Bottle,Jakarta,2848,5000,6000
2024-10-01,SKU07,2024,10,October,Product B,Food,Berry,Large,Box,Bandung,1489,5000,4000
2024-11-01,SKU07,2024,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,5114,10000,4000
2024-12-01,SKU07,2024,12,December,Product D,Drink,Chocolate,Small,Bottle,Jakarta,793,5000,5000
2025-01-01,SKU07,2025,1,January,Product A,Food,Berry,Medium,Box,Jakarta,3702,7500,4000
2025-02-01,SKU07,2025,2,February,Product B,Food,Vanilla,Small,Box,Jakarta,4284,5000,6000
2025-03-01,SKU07,2025,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,4689,7500,5000
2025-04-01,SKU07,2025,4,April,Product D,Drink,Berry,Medium,Box,Bandung,3479,15000,4000
2025-05-01,SKU07,2025,5,May,Product A,Food,Berry,Small,Box,Bandung,1715,5000,6000
2025-06-01,SKU07,2025,6,June,Product B,Food,Chocolate,Large,Box,Jakarta,1704,15000,4000
2025-07-01,SKU07,2025,7,July,Product C,Drink,Original,Small,Box,Jakarta,5066,15000,4000
2025-08-01,SKU07,2025,8,August,Product D,Drink,Original,Medium,Bottle,Bandung,611,7500,6000
2025-09-01,SKU07,2025,9,September,Product A,Food,Original,Medium,Bottle,Jakarta,4325,7500,6000
2025-10-01,SKU07,2025,10,October,Product B,Food,Berry,Small,Box,Jakarta,2858,7500,5000
2025-11-01,SKU07,2025,11,November,Product C,Drink,Original,Medium,Box,Jakarta,3197,15000,4000
2025-12-01,SKU07,2025,12,December,Product D,Drink,Chocolate,Small,Box,Jakarta,6098,10000,6000
2026-01-01,SKU07,2026,1,January,Product A,Food,Chocolate,Small,Box,Bandung,1240,10000,6000
2026-02-01,SKU07,2026,2,February,Product B,Food,Berry,Medium,Box,Jakarta,2205,7500,5000
2026-03-01,SKU07,2026,3,March,Product C,Drink,Chocolate,Medium,Box,Bandung,1121,15000,6000
2026-04-01,SKU07,2026,4,April,Product D,Drink,Original,Medium,Bottle,Bandung,1174,7500,6000
2026-05-01,SKU07,2026,5,May,Product A,Food,Vanilla,Medium,Box,Bandung,3544,7500,6000
2026-06-01,SKU07,2026,6,June,Product B,Food,Chocolate,Large,Box,Bandung,3484,15000,4000
2026-07-01,SKU07,2026,7,July,Product C,Drink,Chocolate,Small,Box,Bandung,3016,10000,5000
2026-08-01,SKU07,2026,8,August,Product D,Drink,Original,Small,Bottle,Jakarta,4150,5000,6000
2026-09-01,SKU07,2026,9,September,Product A,Food,Original,Small,Bottle,Bandung,4831,10000,6000
2026-10-01,SKU07,2026,10,October,Product B,Food,Berry,Small,Bottle,Jakarta,2819,15000,5000
2026-11-01,SKU07,2026,11,November,Product C,Drink,Chocolate,Large,Box,Jakarta,4767,5000,6000
2026-12-01,SKU07,2026,12,December,Product D,Drink,Original,Medium,Bottle,Bandung,1708,7500,4000
2024-01-01,SKU08,2024,1,January,Product A,Food,Berry,Small,Bottle,Jakarta,2097,10000,4000
2024-02-01,SKU08,2024,2,February,Product B,Food,Chocolate,Small,Box,Bandung,725,7500,6000
2024-03-01,SKU08,2024,3,March,Product C,Drink,Chocolate,Large,Box,Jakarta,1186,7500,5000
2024-04-01,SKU08,2024,4,April,Product D,Drink,Chocolate,Large,Bottle,Jakarta,947,5000,5000
2024-05-01,SKU08,2024,5,May,Product A,Food,Vanilla,Small,Bottle,Jakarta,1761,7500,4000
2024-06-01,SKU08,2024,6,June,Product B,Food,Vanilla,Small,Bottle,Jakarta,2580,15000,4000
2024-07-01,SKU08,2024,7,July,Product C,Drink,Berry,Medium,Bottle,Bandung,3857,15000,4000
2024-08-01,SKU08,2024,8,August,Product D,Drink,Chocolate,Large,Bottle,Bandung,3682,10000,6000
2024-09-01,SKU08,2024,9,September,Product A,Food,Original,Small,Bottle,Bandung,1967,15000,4000
